19:29:03.407951 [queue=0] packet #1, 127.0.0.1:1234 -> 127.0.0.1:61090, sz=2 is delivered
19:29:03.410459 [queue=0] packet #2, 127.0.0.1:61091 -> 127.0.0.1:1234, sz=38 is dropped
19:29:06.412382 [queue=1] packet #2, 127.0.0.1:61091 -> 127.0.0.1:1234, sz=38 is delayed for 1.44s
19:29:07.853707 [queue=0] packet #2, 127.0.0.1:61091 -> 127.0.0.1:1234, sz=38 is delivered
19:29:07.873875 [queue=1] packet #2, 127.0.0.1:1234 -> 127.0.0.1:61091, sz=401 is delayed for 2.7s
19:29:09.414775 [queue=1] packet #2, 127.0.0.1:61091 -> 127.0.0.1:1234, sz=38 is dropped
19:29:10.574037 [queue=0] packet #2, 127.0.0.1:1234 -> 127.0.0.1:61091, sz=401 is delivered
19:29:10.575187 [queue=1] packet #3, 127.0.0.1:61091 -> 127.0.0.1:1234, sz=8 is delayed for 2.91s
19:29:13.485455 [queue=0] packet #3, 127.0.0.1:61091 -> 127.0.0.1:1234, sz=8 is delivered
19:29:13.486473 [queue=0] packet #3, 127.0.0.1:1234 -> 127.0.0.1:61091, sz=5 is dropped
19:29:13.577491 [queue=0] packet #3, 127.0.0.1:61091 -> 127.0.0.1:1234, sz=8 is dropped
19:29:16.579893 [queue=1] packet #3, 127.0.0.1:61091 -> 127.0.0.1:1234, sz=8 is delayed for 450ms
19:29:17.030449 [queue=0] packet #3, 127.0.0.1:61091 -> 127.0.0.1:1234, sz=8 is delivered
19:29:17.031457 [queue=0] packet #3, 127.0.0.1:1234 -> 127.0.0.1:61091, sz=5 is dropped
19:29:19.582211 [queue=0] packet #3, 127.0.0.1:61091 -> 127.0.0.1:1234, sz=8 is dropped
19:29:22.585276 [queue=1] packet #3, 127.0.0.1:61091 -> 127.0.0.1:1234, sz=8 is delayed for 1.26s
19:29:23.846913 [queue=0] packet #3, 127.0.0.1:61091 -> 127.0.0.1:1234, sz=8 is delivered
19:29:23.847693 [queue=1] packet #3, 127.0.0.1:1234 -> 127.0.0.1:61091, sz=5 is delayed for 510ms
19:29:24.358541 [queue=0] packet #3, 127.0.0.1:1234 -> 127.0.0.1:61091, sz=5 is delivered
19:29:24.359327 [queue=0] packet #4, 127.0.0.1:61091 -> 127.0.0.1:1234, sz=2 is dropped
19:31:38.985882 [queue=0] packet #1, 127.0.0.1:55632 -> 127.0.0.1:1234, sz=2 is dropped
19:31:42.180747 [queue=1] packet #1, 127.0.0.1:55632 -> 127.0.0.1:1234, sz=2 is delayed for 1.74s
19:31:43.922366 [queue=0] packet #1, 127.0.0.1:55632 -> 127.0.0.1:1234, sz=2 is delivered
19:31:43.930483 [queue=1] packet #1, 127.0.0.1:1234 -> 127.0.0.1:55632, sz=2 is delayed for 2.76s
19:31:45.182972 [queue=2] packet #1, 127.0.0.1:55632 -> 127.0.0.1:1234, sz=2 is delayed for 2.31s
19:31:46.691263 [queue=1] packet #1, 127.0.0.1:1234 -> 127.0.0.1:55632, sz=2 is delivered
19:31:46.692779 [queue=2] packet #2, 127.0.0.1:55633 -> 127.0.0.1:1234, sz=38 is delayed for 510ms
19:31:47.204289 [queue=1] packet #2, 127.0.0.1:55633 -> 127.0.0.1:1234, sz=38 is delivered
19:31:47.228235 [queue=2] packet #2, 127.0.0.1:1234 -> 127.0.0.1:55633, sz=401 is delayed for 2.76s
19:31:47.493805 [queue=1] packet #1, 127.0.0.1:55632 -> 127.0.0.1:1234, sz=2 is delivered
19:31:47.494571 [queue=1] packet #1, 127.0.0.1:1234 -> 127.0.0.1:55632, sz=2 is dropped
19:31:49.694265 [queue=2] packet #2, 127.0.0.1:55633 -> 127.0.0.1:1234, sz=38 is delayed for 720ms
19:31:49.990345 [queue=1] packet #2, 127.0.0.1:1234 -> 127.0.0.1:55633, sz=401 is delivered
19:31:49.991433 [queue=2] packet #3, 127.0.0.1:55633 -> 127.0.0.1:1234, sz=3 is delayed for 840ms
19:31:50.415883 [queue=1] packet #2, 127.0.0.1:55633 -> 127.0.0.1:1234, sz=38 is delivered
19:31:50.419682 [queue=2] packet #2, 127.0.0.1:1234 -> 127.0.0.1:55633, sz=401 is delayed for 30ms
19:31:50.450574 [queue=1] packet #2, 127.0.0.1:1234 -> 127.0.0.1:55633, sz=401 is delivered
19:31:50.451730 [queue=2] packet #4, 127.0.0.1:55633 -> 127.0.0.1:1234, sz=2 is delayed for 990ms
19:31:50.840177 [queue=1] packet #3, 127.0.0.1:55633 -> 127.0.0.1:1234, sz=3 is delivered
19:31:50.840935 [queue=2] packet #3, 127.0.0.1:1234 -> 127.0.0.1:55633, sz=5 is delayed for 960ms
19:31:51.445075 [queue=1] packet #4, 127.0.0.1:55633 -> 127.0.0.1:1234, sz=2 is delivered
19:31:51.805058 [queue=0] packet #3, 127.0.0.1:1234 -> 127.0.0.1:55633, sz=5 is delivered
20:22:21.546606 config: drop-rate=0.00, max-delay=0s, seed=1544059341546606700
20:22:21.548602 router is listening at :3000
20:25:18.708844 [queue=0] packet #1, 127.0.0.1:54758 -> 127.0.0.1:1234, sz=2 is delivered
20:25:18.713845 [queue=0] packet #1, 127.0.0.1:1234 -> 127.0.0.1:54758, sz=2 is delivered
20:25:18.956795 [queue=0] packet #2, 127.0.0.1:54759 -> 127.0.0.1:1234, sz=38 is delivered
20:25:18.970191 [queue=0] packet #2, 127.0.0.1:1234 -> 127.0.0.1:54759, sz=403 is delivered
20:25:18.970191 [queue=0] packet #3, 127.0.0.1:54759 -> 127.0.0.1:1234, sz=3 is delivered
20:25:18.971137 [queue=0] packet #3, 127.0.0.1:1234 -> 127.0.0.1:54759, sz=5 is delivered
20:25:18.971137 [queue=0] packet #4, 127.0.0.1:54759 -> 127.0.0.1:1234, sz=2 is delivered
20:27:30.237881 [queue=0] packet #1, 127.0.0.1:62358 -> 127.0.0.1:1234, sz=2 is delivered
20:27:30.238845 [queue=0] packet #1, 127.0.0.1:1234 -> 127.0.0.1:62358, sz=2 is delivered
20:27:30.444775 [queue=0] packet #2, 127.0.0.1:62359 -> 127.0.0.1:1234, sz=38 is delivered
20:27:30.446366 [queue=0] packet #2, 127.0.0.1:1234 -> 127.0.0.1:62359, sz=403 is delivered
20:27:30.447393 [queue=0] packet #3, 127.0.0.1:62359 -> 127.0.0.1:1234, sz=3 is delivered
20:27:30.448545 [queue=0] packet #3, 127.0.0.1:1234 -> 127.0.0.1:62359, sz=5 is delivered
20:27:30.449283 [queue=0] packet #4, 127.0.0.1:62359 -> 127.0.0.1:1234, sz=2 is delivered
20:32:02.139496 [queue=0] packet #1, 192.168.43.140:60994 -> 192.168.43.139:1234, sz=2 is delivered
20:32:02.140493 [queue=0] packet #1, 192.168.43.139:1234 -> 192.168.43.140:60994, sz=2 is delivered
20:32:02.154822 [queue=0] packet #2, 192.168.43.140:60995 -> 192.168.43.139:1234, sz=43 is delivered
20:32:02.159876 [queue=0] packet #2, 192.168.43.139:1234 -> 192.168.43.140:60995, sz=413 is delivered
20:32:02.168880 [queue=0] packet #3, 192.168.43.140:60995 -> 192.168.43.139:1234, sz=8 is delivered
20:32:05.170515 [queue=0] packet #3, 192.168.43.140:60995 -> 192.168.43.139:1234, sz=8 is delivered
20:32:08.347300 [queue=0] packet #3, 192.168.43.140:60995 -> 192.168.43.139:1234, sz=8 is delivered
20:32:12.140978 [queue=0] packet #3, 192.168.43.140:60995 -> 192.168.43.139:1234, sz=8 is delivered
20:32:14.285187 [queue=0] packet #3, 192.168.43.140:60995 -> 192.168.43.139:1234, sz=8 is delivered
20:32:17.362418 [queue=0] packet #3, 192.168.43.140:60995 -> 192.168.43.139:1234, sz=8 is delivered
20:32:22.066457 [queue=0] packet #3, 192.168.43.140:60995 -> 192.168.43.139:1234, sz=8 is delivered
20:32:23.305634 [queue=0] packet #3, 192.168.43.140:60995 -> 192.168.43.139:1234, sz=8 is delivered
20:32:26.266697 [queue=0] packet #3, 192.168.43.140:60995 -> 192.168.43.139:1234, sz=8 is delivered
20:32:29.471470 [queue=0] packet #3, 192.168.43.140:60995 -> 192.168.43.139:1234, sz=8 is delivered
20:32:32.309904 [queue=0] packet #3, 192.168.43.140:60995 -> 192.168.43.139:1234, sz=8 is delivered
20:32:35.380190 [queue=0] packet #4, 192.168.43.140:60995 -> 192.168.43.139:1234, sz=2 is delivered
20:46:37.800236 [queue=0] packet #1, 192.168.43.140:52436 -> 192.168.43.139:1234, sz=2 is delivered
20:46:37.801477 [queue=0] packet #1, 192.168.43.139:1234 -> 192.168.43.140:52436, sz=2 is delivered
20:46:38.721794 [queue=0] packet #2, 192.168.43.140:52437 -> 192.168.43.139:1234, sz=77 is delivered
20:46:38.734208 [queue=0] packet #2, 192.168.43.139:1234 -> 192.168.43.140:52437, sz=366 is delivered
20:46:39.234455 [queue=0] packet #3, 192.168.43.140:52437 -> 192.168.43.139:1234, sz=8 is delivered
20:46:42.573832 [queue=0] packet #3, 192.168.43.140:52437 -> 192.168.43.139:1234, sz=8 is delivered
20:46:45.331615 [queue=0] packet #1, 127.0.0.1:51236 -> 127.0.0.1:1234, sz=2 is delivered
20:46:45.332614 [queue=0] packet #1, 127.0.0.1:1234 -> 127.0.0.1:51236, sz=2 is delivered
20:46:45.334608 [queue=0] packet #2, 127.0.0.1:51237 -> 127.0.0.1:1234, sz=72 is delivered
20:46:45.340756 [queue=0] packet #2, 127.0.0.1:1234 -> 127.0.0.1:51237, sz=356 is delivered
20:46:45.340756 [queue=0] packet #3, 127.0.0.1:51237 -> 127.0.0.1:1234, sz=3 is delivered
20:46:45.341589 [queue=0] packet #3, 127.0.0.1:1234 -> 127.0.0.1:51237, sz=5 is delivered
20:46:45.342586 [queue=0] packet #4, 127.0.0.1:51237 -> 127.0.0.1:1234, sz=2 is delivered
20:46:45.787494 [queue=0] packet #3, 192.168.43.140:52437 -> 192.168.43.139:1234, sz=8 is delivered
20:46:49.102983 [queue=0] packet #3, 192.168.43.140:52437 -> 192.168.43.139:1234, sz=8 is delivered
20:46:51.213179 [queue=0] packet #3, 192.168.43.140:52437 -> 192.168.43.139:1234, sz=8 is delivered
20:46:54.594837 [queue=0] packet #3, 192.168.43.140:52437 -> 192.168.43.139:1234, sz=8 is delivered
20:46:58.690887 [queue=0] packet #3, 192.168.43.140:52437 -> 192.168.43.139:1234, sz=8 is delivered
20:47:01.190136 [queue=0] packet #3, 192.168.43.140:52437 -> 192.168.43.139:1234, sz=8 is delivered
20:47:03.604734 [queue=0] packet #3, 192.168.43.140:52437 -> 192.168.43.139:1234, sz=8 is delivered
20:47:05.962393 [queue=0] packet #3, 192.168.43.140:52437 -> 192.168.43.139:1234, sz=8 is delivered
20:47:10.056493 [queue=0] packet #3, 192.168.43.140:52437 -> 192.168.43.139:1234, sz=8 is delivered
20:47:13.537568 [queue=0] packet #4, 192.168.43.140:52437 -> 192.168.43.139:1234, sz=2 is delivered
